field,query,expected,predicted
end_date,"I want a 6-day family getaway to Tokyo, around $800, staying at a hostel, mainly for shopping, art.",2025-04-26,
trip_duration,"I want a 6-day family getaway to Tokyo, around $800, staying at a hostel, mainly for shopping, art.",6,
start_date,"I want a 6-day family holiday to Tokyo, around $800, staying at a hostel, mainly for shopping, art.",2025-04-20,
end_date,"I want a 6-day family holiday to Tokyo, around $800, staying at a hostel, mainly for shopping, art.",2025-04-26,
trip_duration,"I want a 6-day family holiday to Tokyo, around $800, staying at a hostel, mainly for shopping, art.",6,
start_date,"Family vacation to Rome (2025-03-28–2025-04-07) with $800 for 4 people, prefer villa, focusing on hiking, adventure.",2025-03-28,2025-11-05
end_date,"Family vacation to Rome (2025-03-28–2025-04-07) with $800 for 4 people, prefer villa, focusing on hiking, adventure.",2025-04-07,2025-11-06
trip_duration,"Family vacation to Rome (2025-03-28–2025-04-07) with $800 for 4 people, prefer villa, focusing on hiking, adventure.",10,2
start_date,"Family trip to Rome (2025-03-28–2025-04-07) with $800 for 4 people, prefer villa, focusing on hiking, adventure.",2025-03-28,2025-11-05
end_date,"Family trip to Rome (2025-03-28–2025-04-07) with $800 for 4 people, prefer villa, focusing on hiking, adventure.",2025-04-07,2025-11-06
trip_duration,"Family trip to Rome (2025-03-28–2025-04-07) with $800 for 4 people, prefer villa, focusing on hiking, adventure.",10,2
start_date,"Family vacation to Rome (2025-03-28–2025-04-07) with $800 for 4 people, prefer villa, focusing on hiking, adventure.",2025-03-28,2025-11-05
end_date,"Family vacation to Rome (2025-03-28–2025-04-07) with $800 for 4 people, prefer villa, focusing on hiking, adventure.",2025-04-07,2025-11-06
trip_duration,"Family vacation to Rome (2025-03-28–2025-04-07) with $800 for 4 people, prefer villa, focusing on hiking, adventure.",10,2
start_date,"Looking for a 4-day solo getaway to New York, around $1200, staying at a hostel, mainly for hiking.",2025-09-05,
end_date,"Looking for a 4-day solo getaway to New York, around $1200, staying at a hostel, mainly for hiking.",2025-09-09,
trip_duration,"Looking for a 4-day solo getaway to New York, around $1200, staying at a hostel, mainly for hiking.",4,
start_date,"Looking for a 4-day solo getaway to New York, around $1200, staying at a hostel, mainly for hiking.",2025-09-05,
end_date,"Looking for a 4-day solo getaway to New York, around $1200, staying at a hostel, mainly for hiking.",2025-09-09,
trip_duration,"Looking for a 4-day solo getaway to New York, around $1200, staying at a hostel, mainly for hiking.",4,
start_date,"Looking for a 4-day solo getaway to New York, around $1200, staying at a hostel, mainly for hiking.",2025-09-05,
end_date,"Looking for a 4-day solo getaway to New York, around $1200, staying at a hostel, mainly for hiking.",2025-09-09,
trip_duration,"Looking for a 4-day solo getaway to New York, around $1200, staying at a hostel, mainly for hiking.",4,
start_date,"Couple vacation to London (2025-05-16–2025-05-21) with $1200 for 2 people, prefer resort, focusing on hiking.",2025-05-16,2025-11-05
end_date,"Couple vacation to London (2025-05-16–2025-05-21) with $1200 for 2 people, prefer resort, focusing on hiking.",2025-05-21,2025-11-06
trip_duration,"Couple vacation to London (2025-05-16–2025-05-21) with $1200 for 2 people, prefer resort, focusing on hiking.",5,2
start_date,"Couple vacation to London (2025-05-16–2025-05-21) with $1200 for 2 people, prefer resort, focusing on hiking.",2025-05-16,2025-11-05
end_date,"Couple vacation to London (2025-05-16–2025-05-21) with $1200 for 2 people, prefer resort, focusing on hiking.",2025-05-21,2025-11-06
trip_duration,"Couple vacation to London (2025-05-16–2025-05-21) with $1200 for 2 people, prefer resort, focusing on hiking.",5,2
start_date,"Couple vacation to London (2025-05-16–2025-05-21) with $1200 for 2 people, prefer resort, focusing on hiking.",2025-05-16,2025-11-05
end_date,"Couple vacation to London (2025-05-16–2025-05-21) with $1200 for 2 people, prefer resort, focusing on hiking.",2025-05-21,2025-11-06
trip_duration,"Couple vacation to London (2025-05-16–2025-05-21) with $1200 for 2 people, prefer resort, focusing on hiking.",5,2
start_date,"Looking for a 8-day couple getaway to Dubai, around $2000, staying at a hotel, mainly for shopping, history, art.",2025-10-24,
end_date,"Looking for a 8-day couple getaway to Dubai, around $2000, staying at a hotel, mainly for shopping, history, art.",2025-11-01,
trip_duration,"Looking for a 8-day couple getaway to Dubai, around $2000, staying at a hotel, mainly for shopping, history, art.",8,
start_date,"Looking for a 8-day couple getaway to Dubai, around $2000, booked in a hotel, mainly for shopping, history, art.",2025-10-24,
end_date,"Looking for a 8-day couple getaway to Dubai, around $2000, booked in a hotel, mainly for shopping, history, art.",2025-11-01,
trip_duration,"Looking for a 8-day couple getaway to Dubai, around $2000, booked in a hotel, mainly for shopping, history, art.",8,
start_date,"Looking for a 8-day couple getaway to Dubai, around $2000, staying at a hotel, mainly for shopping, history, art.",2025-10-24,
end_date,"Looking for a 8-day couple getaway to Dubai, around $2000, staying at a hotel, mainly for shopping, history, art.",2025-11-01,
trip_duration,"Looking for a 8-day couple getaway to Dubai, around $2000, staying at a hotel, mainly for shopping, history, art.",8,
start_date,"Looking for a 3-day solo getaway to Cape Town, around $1500, staying at a villa, mainly for history, wildlife.",2025-10-26,
end_date,"Looking for a 3-day solo getaway to Cape Town, around $1500, staying at a villa, mainly for history, wildlife.",2025-10-29,
trip_duration,"Looking for a 3-day solo getaway to Cape Town, around $1500, staying at a villa, mainly for history, wildlife.",3,
start_date,"Looking for a 3-day solo getaway to Cape Town, around $1500, staying at a villa, mainly for history, wildlife.",2025-10-26,
end_date,"Looking for a 3-day solo getaway to Cape Town, around $1500, staying at a villa, mainly for history, wildlife.",2025-10-29,
trip_duration,"Looking for a 3-day solo getaway to Cape Town, around $1500, staying at a villa, mainly for history, wildlife.",3,
start_date,"Looking for a 3-day solo getaway to Cape Town, around $1500, booked in a villa, mainly for history, wildlife.",2025-10-26,
end_date,"Looking for a 3-day solo getaway to Cape Town, around $1500, booked in a villa, mainly for history, wildlife.",2025-10-29,
trip_duration,"Looking for a 3-day solo getaway to Cape Town, around $1500, booked in a villa, mainly for history, wildlife.",3,
start_date,"Family vacation to Bali (2025-05-04–2025-05-09) with $1200 for 4 people, prefer hostel, focusing on relaxation, beaches, art.",2025-05-04,2025-11-05
end_date,"Family vacation to Bali (2025-05-04–2025-05-09) with $1200 for 4 people, prefer hostel, focusing on relaxation, beaches, art.",2025-05-09,2025-11-06
trip_duration,"Family vacation to Bali (2025-05-04–2025-05-09) with $1200 for 4 people, prefer hostel, focusing on relaxation, beaches, art.",5,2
start_date,"Family vacation to Bali (2025-05-04–2025-05-09) with $1200 for 4 people, prefer hostel, focusing on relaxation, beaches, art.",2025-05-04,2025-11-05
end_date,"Family vacation to Bali (2025-05-04–2025-05-09) with $1200 for 4 people, prefer hostel, focusing on relaxation, beaches, art.",2025-05-09,2025-11-06
trip_duration,"Family vacation to Bali (2025-05-04–2025-05-09) with $1200 for 4 people, prefer hostel, focusing on relaxation, beaches, art.",5,2
start_date,"Family vacation to Bali (2025-05-04–2025-05-09) with $1200 for 4 people, prefer hostel, focusing on relaxation, beaches, art.",2025-05-04,2025-11-05
end_date,"Family vacation to Bali (2025-05-04–2025-05-09) with $1200 for 4 people, prefer hostel, focusing on relaxation, beaches, art.",2025-05-09,2025-11-06
trip_duration,"Family vacation to Bali (2025-05-04–2025-05-09) with $1200 for 4 people, prefer hostel, focusing on relaxation, beaches, art.",5,2
start_date,"Solo vacation to Dubai (2025-04-04–2025-04-10) with $3000 for 1 people, prefer hostel, focusing on nightlife.",2025-04-04,2025-11-05
end_date,"Solo vacation to Dubai (2025-04-04–2025-04-10) with $3000 for 1 people, prefer hostel, focusing on nightlife.",2025-04-10,2025-11-06
trip_duration,"Solo vacation to Dubai (2025-04-04–2025-04-10) with $3000 for 1 people, prefer hostel, focusing on nightlife.",6,2
start_date,"Solo trip to Dubai (2025-04-04–2025-04-10) with $3000 for 1 people, prefer hostel, focusing on nightlife.",2025-04-04,2025-11-05
end_date,"Solo trip to Dubai (2025-04-04–2025-04-10) with $3000 for 1 people, prefer hostel, focusing on nightlife.",2025-04-10,2025-11-06
trip_duration,"Solo trip to Dubai (2025-04-04–2025-04-10) with $3000 for 1 people, prefer hostel, focusing on nightlife.",6,2
start_date,"Solo vacation to Dubai (2025-04-04–2025-04-10) with $3000 for 1 people, prefer hostel, focusing on nightlife.",2025-04-04,2025-11-05
end_date,"Solo vacation to Dubai (2025-04-04–2025-04-10) with $3000 for 1 people, prefer hostel, focusing on nightlife.",2025-04-10,2025-11-06
trip_duration,"Solo vacation to Dubai (2025-04-04–2025-04-10) with $3000 for 1 people, prefer hostel, focusing on nightlife.",6,2
start_date,"Friends vacation to Cape Town (2025-06-26–2025-07-06) with $3000 for 6 people, prefer hostel, focusing on food, photography, shopping.",2025-06-26,2025-11-05
end_date,"Friends vacation to Cape Town (2025-06-26–2025-07-06) with $3000 for 6 people, prefer hostel, focusing on food, photography, shopping.",2025-07-06,2025-11-06
trip_duration,"Friends vacation to Cape Town (2025-06-26–2025-07-06) with $3000 for 6 people, prefer hostel, focusing on food, photography, shopping.",10,2
start_date,"Friends trip to Cape Town (2025-06-26–2025-07-06) with $3000 for 6 people, prefer hostel, focusing on food, photography, shopping.",2025-06-26,2025-11-05
end_date,"Friends trip to Cape Town (2025-06-26–2025-07-06) with $3000 for 6 people, prefer hostel, focusing on food, photography, shopping.",2025-07-06,2025-11-06
trip_duration,"Friends trip to Cape Town (2025-06-26–2025-07-06) with $3000 for 6 people, prefer hostel, focusing on food, photography, shopping.",10,2
start_date,"Friends trip to Cape Town (2025-06-26–2025-07-06) with $3000 for 6 people, prefer hostel, focusing on food, photography, shopping.",2025-06-26,2025-11-05
end_date,"Friends trip to Cape Town (2025-06-26–2025-07-06) with $3000 for 6 people, prefer hostel, focusing on food, photography, shopping.",2025-07-06,2025-11-06
trip_duration,"Friends trip to Cape Town (2025-06-26–2025-07-06) with $3000 for 6 people, prefer hostel, focusing on food, photography, shopping.",10,2
start_date,"Family vacation to Bali (2025-09-12–2025-09-21) with $3000 for 3 people, prefer villa, focusing on beaches, history.",2025-09-12,2025-11-05
end_date,"Family vacation to Bali (2025-09-12–2025-09-21) with $3000 for 3 people, prefer villa, focusing on beaches, history.",2025-09-21,2025-11-06
trip_duration,"Family vacation to Bali (2025-09-12–2025-09-21) with $3000 for 3 people, prefer villa, focusing on beaches, history.",9,2
start_date,"Family trip to Bali (2025-09-12–2025-09-21) with $3000 for 3 people, prefer villa, focusing on beaches, history.",2025-09-12,2025-11-05
end_date,"Family trip to Bali (2025-09-12–2025-09-21) with $3000 for 3 people, prefer villa, focusing on beaches, history.",2025-09-21,2025-11-06
trip_duration,"Family trip to Bali (2025-09-12–2025-09-21) with $3000 for 3 people, prefer villa, focusing on beaches, history.",9,2
start_date,"Family vacation to Bali (2025-09-12–2025-09-21) with $3000 for 3 people, prefer villa, focusing on beaches, history.",2025-09-12,2025-11-05
end_date,"Family vacation to Bali (2025-09-12–2025-09-21) with $3000 for 3 people, prefer villa, focusing on beaches, history.",2025-09-21,2025-11-06
trip_duration,"Family vacation to Bali (2025-09-12–2025-09-21) with $3000 for 3 people, prefer villa, focusing on beaches, history.",9,2
start_date,"Looking for a 9-day friends getaway to Tokyo, around $2500, staying at a hostel, mainly for beaches.",2025-05-24,
end_date,"Looking for a 9-day friends getaway to Tokyo, around $2500, staying at a hostel, mainly for beaches.",2025-06-02,
trip_duration,"Looking for a 9-day friends getaway to Tokyo, around $2500, staying at a hostel, mainly for beaches.",9,
group_size,"Looking for a 9-day friends getaway to Tokyo, around $2500, staying at a hostel, mainly for beaches.",6,3
start_date,"I want a 9-day friends holiday to Tokyo, around $2500, booked in a hostel, mainly for beaches.",2025-05-24,
end_date,"I want a 9-day friends holiday to Tokyo, around $2500, booked in a hostel, mainly for beaches.",2025-06-02,
trip_duration,"I want a 9-day friends holiday to Tokyo, around $2500, booked in a hostel, mainly for beaches.",9,
group_size,"I want a 9-day friends holiday to Tokyo, around $2500, booked in a hostel, mainly for beaches.",6,3
start_date,"I want a 9-day friends holiday to Tokyo, around $2500, booked in a hostel, mainly for beaches.",2025-05-24,
end_date,"I want a 9-day friends holiday to Tokyo, around $2500, booked in a hostel, mainly for beaches.",2025-06-02,
trip_duration,"I want a 9-day friends holiday to Tokyo, around $2500, booked in a hostel, mainly for beaches.",9,
group_size,"I want a 9-day friends holiday to Tokyo, around $2500, booked in a hostel, mainly for beaches.",6,3
start_date,"Looking for a 4-day couple getaway to Bali, around $800, staying at a Airbnb, mainly for adventure, hiking, wildlife.",2025-02-26,
end_date,"Looking for a 4-day couple getaway to Bali, around $800, staying at a Airbnb, mainly for adventure, hiking, wildlife.",2025-03-02,
trip_duration,"Looking for a 4-day couple getaway to Bali, around $800, staying at a Airbnb, mainly for adventure, hiking, wildlife.",4,
start_date,"Looking for a 4-day couple holiday to Bali, around $800, booked in a Airbnb, mainly for adventure, hiking, wildlife.",2025-02-26,
end_date,"Looking for a 4-day couple holiday to Bali, around $800, booked in a Airbnb, mainly for adventure, hiking, wildlife.",2025-03-02,
trip_duration,"Looking for a 4-day couple holiday to Bali, around $800, booked in a Airbnb, mainly for adventure, hiking, wildlife.",4,
start_date,"Looking for a 4-day couple getaway to Bali, around $800, staying at a Airbnb, mainly for adventure, hiking, wildlife.",2025-02-26,
end_date,"Looking for a 4-day couple getaway to Bali, around $800, staying at a Airbnb, mainly for adventure, hiking, wildlife.",2025-03-02,
trip_duration,"Looking for a 4-day couple getaway to Bali, around $800, staying at a Airbnb, mainly for adventure, hiking, wildlife.",4,
start_date,"Friends vacation to Tokyo (2025-04-27–2025-05-05) with $2500 for 6 people, prefer Airbnb, focusing on art, hiking, history.",2025-04-27,2025-11-05
end_date,"Friends vacation to Tokyo (2025-04-27–2025-05-05) with $2500 for 6 people, prefer Airbnb, focusing on art, hiking, history.",2025-05-05,2025-11-06
trip_duration,"Friends vacation to Tokyo (2025-04-27–2025-05-05) with $2500 for 6 people, prefer Airbnb, focusing on art, hiking, history.",8,2
start_date,"Friends vacation to Tokyo (2025-04-27–2025-05-05) with $2500 for 6 people, prefer Airbnb, focusing on art, hiking, history.",2025-04-27,2025-11-05
end_date,"Friends vacation to Tokyo (2025-04-27–2025-05-05) with $2500 for 6 people, prefer Airbnb, focusing on art, hiking, history.",2025-05-05,2025-11-06
trip_duration,"Friends vacation to Tokyo (2025-04-27–2025-05-05) with $2500 for 6 people, prefer Airbnb, focusing on art, hiking, history.",8,2
start_date,"Friends trip to Tokyo (2025-04-27–2025-05-05) with $2500 for 6 people, prefer Airbnb, focusing on art, hiking, history.",2025-04-27,2025-11-05
end_date,"Friends trip to Tokyo (2025-04-27–2025-05-05) with $2500 for 6 people, prefer Airbnb, focusing on art, hiking, history.",2025-05-05,2025-11-06
trip_duration,"Friends trip to Tokyo (2025-04-27–2025-05-05) with $2500 for 6 people, prefer Airbnb, focusing on art, hiking, history.",8,2
group_size,"Plan a friends trip to Dubai from 2025-10-23 to 2025-10-26 staying in a Airbnb, budget $2000, interested in wildlife, nightlife, beaches.",6,3
group_size,"Plan a friends trip to Dubai from 2025-10-23 to 2025-10-26 staying in a Airbnb, budget $2000, interested in wildlife, nightlife, beaches.",6,3
group_size,"Plan a friends trip to Dubai from 2025-10-23 to 2025-10-26 staying in a Airbnb, budget $2000, focusing on wildlife, nightlife, beaches.",6,3
start_date,"Couple vacation to London (2025-08-23–2025-08-27) with $2500 for 2 people, prefer Airbnb, focusing on history.",2025-08-23,2025-11-05
end_date,"Couple vacation to London (2025-08-23–2025-08-27) with $2500 for 2 people, prefer Airbnb, focusing on history.",2025-08-27,2025-11-06
trip_duration,"Couple vacation to London (2025-08-23–2025-08-27) with $2500 for 2 people, prefer Airbnb, focusing on history.",4,2
start_date,"Couple vacation to London (2025-08-23–2025-08-27) with $2500 for 2 people, prefer Airbnb, focusing on history.",2025-08-23,2025-11-05
end_date,"Couple vacation to London (2025-08-23–2025-08-27) with $2500 for 2 people, prefer Airbnb, focusing on history.",2025-08-27,2025-11-06
trip_duration,"Couple vacation to London (2025-08-23–2025-08-27) with $2500 for 2 people, prefer Airbnb, focusing on history.",4,2
start_date,"Couple vacation to London (2025-08-23–2025-08-27) with $2500 for 2 people, prefer Airbnb, focusing on history.",2025-08-23,2025-11-05
end_date,"Couple vacation to London (2025-08-23–2025-08-27) with $2500 for 2 people, prefer Airbnb, focusing on history.",2025-08-27,2025-11-06
trip_duration,"Couple vacation to London (2025-08-23–2025-08-27) with $2500 for 2 people, prefer Airbnb, focusing on history.",4,2
start_date,"Couple vacation to Paris (2025-04-26–2025-05-06) with $2500 for 2 people, prefer resort, focusing on nightlife, beaches.",2025-04-26,2025-11-05
end_date,"Couple vacation to Paris (2025-04-26–2025-05-06) with $2500 for 2 people, prefer resort, focusing on nightlife, beaches.",2025-05-06,2025-11-06
trip_duration,"Couple vacation to Paris (2025-04-26–2025-05-06) with $2500 for 2 people, prefer resort, focusing on nightlife, beaches.",10,2
start_date,"Couple trip to Paris (2025-04-26–2025-05-06) with $2500 for 2 people, prefer resort, focusing on nightlife, beaches.",2025-04-26,2025-11-05
end_date,"Couple trip to Paris (2025-04-26–2025-05-06) with $2500 for 2 people, prefer resort, focusing on nightlife, beaches.",2025-05-06,2025-11-06
trip_duration,"Couple trip to Paris (2025-04-26–2025-05-06) with $2500 for 2 people, prefer resort, focusing on nightlife, beaches.",10,2
start_date,"Couple trip to Paris (2025-04-26–2025-05-06) with $2500 for 2 people, prefer resort, focusing on nightlife, beaches.",2025-04-26,2025-11-05
end_date,"Couple trip to Paris (2025-04-26–2025-05-06) with $2500 for 2 people, prefer resort, focusing on nightlife, beaches.",2025-05-06,2025-11-06
trip_duration,"Couple trip to Paris (2025-04-26–2025-05-06) with $2500 for 2 people, prefer resort, focusing on nightlife, beaches.",10,2
start_date,"Solo vacation to Dubai (2025-06-05–2025-06-15) with $1200 for 1 people, prefer villa, focusing on shopping, beaches, photography.",2025-06-05,2025-11-05
end_date,"Solo vacation to Dubai (2025-06-05–2025-06-15) with $1200 for 1 people, prefer villa, focusing on shopping, beaches, photography.",2025-06-15,2025-11-06
trip_duration,"Solo vacation to Dubai (2025-06-05–2025-06-15) with $1200 for 1 people, prefer villa, focusing on shopping, beaches, photography.",10,2
start_date,"Solo vacation to Dubai (2025-06-05–2025-06-15) with $1200 for 1 people, prefer villa, focusing on shopping, beaches, photography.",2025-06-05,2025-11-05
end_date,"Solo vacation to Dubai (2025-06-05–2025-06-15) with $1200 for 1 people, prefer villa, focusing on shopping, beaches, photography.",2025-06-15,2025-11-06
trip_duration,"Solo vacation to Dubai (2025-06-05–2025-06-15) with $1200 for 1 people, prefer villa, focusing on shopping, beaches, photography.",10,2
start_date,"Solo vacation to Dubai (2025-06-05–2025-06-15) with $1200 for 1 people, prefer villa, focusing on shopping, beaches, photography.",2025-06-05,2025-11-05
end_date,"Solo vacation to Dubai (2025-06-05–2025-06-15) with $1200 for 1 people, prefer villa, focusing on shopping, beaches, photography.",2025-06-15,2025-11-06
trip_duration,"Solo vacation to Dubai (2025-06-05–2025-06-15) with $1200 for 1 people, prefer villa, focusing on shopping, beaches, photography.",10,2
start_date,"Looking for a 6-day friends getaway to New York, around $1200, staying at a hostel, mainly for relaxation, nightlife.",2025-01-01,
end_date,"Looking for a 6-day friends getaway to New York, around $1200, staying at a hostel, mainly for relaxation, nightlife.",2025-01-07,
trip_duration,"Looking for a 6-day friends getaway to New York, around $1200, staying at a hostel, mainly for relaxation, nightlife.",6,
start_date,"Looking for a 6-day friends getaway to New York, around $1200, staying at a hostel, mainly for relaxation, nightlife.",2025-01-01,
end_date,"Looking for a 6-day friends getaway to New York, around $1200, staying at a hostel, mainly for relaxation, nightlife.",2025-01-07,
trip_duration,"Looking for a 6-day friends getaway to New York, around $1200, staying at a hostel, mainly for relaxation, nightlife.",6,
start_date,"Looking for a 6-day friends holiday to New York, about $1200, booked in a hostel, mainly for relaxation, nightlife.",2025-01-01,
end_date,"Looking for a 6-day friends holiday to New York, about $1200, booked in a hostel, mainly for relaxation, nightlife.",2025-01-07,
trip_duration,"Looking for a 6-day friends holiday to New York, about $1200, booked in a hostel, mainly for relaxation, nightlife.",6,
start_date,"Family vacation to Bali (2025-05-30–2025-06-02) with $5000 for 3 people, prefer hostel, focusing on shopping, culture, food.",2025-05-30,2025-11-05
end_date,"Family vacation to Bali (2025-05-30–2025-06-02) with $5000 for 3 people, prefer hostel, focusing on shopping, culture, food.",2025-06-02,2025-11-06
start_date,"Family vacation to Bali (2025-05-30–2025-06-02) with $5000 for 3 people, prefer hostel, focusing on shopping, culture, food.",2025-05-30,2025-11-05
end_date,"Family vacation to Bali (2025-05-30–2025-06-02) with $5000 for 3 people, prefer hostel, focusing on shopping, culture, food.",2025-06-02,2025-11-06
start_date,"Family vacation to Bali (2025-05-30–2025-06-02) with $5000 for 3 people, prefer hostel, focusing on shopping, culture, food.",2025-05-30,2025-11-05
end_date,"Family vacation to Bali (2025-05-30–2025-06-02) with $5000 for 3 people, prefer hostel, focusing on shopping, culture, food.",2025-06-02,2025-11-06
start_date,"Family vacation to Paris (2025-05-14–2025-05-23) with $3000 for 3 people, prefer hostel, focusing on relaxation.",2025-05-14,2025-11-05
end_date,"Family vacation to Paris (2025-05-14–2025-05-23) with $3000 for 3 people, prefer hostel, focusing on relaxation.",2025-05-23,2025-11-06
trip_duration,"Family vacation to Paris (2025-05-14–2025-05-23) with $3000 for 3 people, prefer hostel, focusing on relaxation.",9,2
start_date,"Family vacation to Paris (2025-05-14–2025-05-23) with $3000 for 3 people, prefer hostel, focusing on relaxation.",2025-05-14,2025-11-05
end_date,"Family vacation to Paris (2025-05-14–2025-05-23) with $3000 for 3 people, prefer hostel, focusing on relaxation.",2025-05-23,2025-11-06
trip_duration,"Family vacation to Paris (2025-05-14–2025-05-23) with $3000 for 3 people, prefer hostel, focusing on relaxation.",9,2
start_date,"Family vacation to Paris (2025-05-14–2025-05-23) with $3000 for 3 people, prefer hostel, focusing on relaxation.",2025-05-14,2025-11-05
end_date,"Family vacation to Paris (2025-05-14–2025-05-23) with $3000 for 3 people, prefer hostel, focusing on relaxation.",2025-05-23,2025-11-06
trip_duration,"Family vacation to Paris (2025-05-14–2025-05-23) with $3000 for 3 people, prefer hostel, focusing on relaxation.",9,2
start_date,"Looking for a 7-day friends getaway to Rome, around $1500, staying at a Airbnb, mainly for art, hiking, history.",2025-04-27,
end_date,"Looking for a 7-day friends getaway to Rome, around $1500, staying at a Airbnb, mainly for art, hiking, history.",2025-05-04,
trip_duration,"Looking for a 7-day friends getaway to Rome, around $1500, staying at a Airbnb, mainly for art, hiking, history.",7,
start_date,"I want a 7-day friends getaway to Rome, about $1500, staying at a Airbnb, mainly for art, hiking, history.",2025-04-27,
end_date,"I want a 7-day friends getaway to Rome, about $1500, staying at a Airbnb, mainly for art, hiking, history.",2025-05-04,
trip_duration,"I want a 7-day friends getaway to Rome, about $1500, staying at a Airbnb, mainly for art, hiking, history.",7,
start_date,"Looking for a 7-day friends holiday to Rome, around $1500, staying at a Airbnb, mainly for art, hiking, history.",2025-04-27,
end_date,"Looking for a 7-day friends holiday to Rome, around $1500, staying at a Airbnb, mainly for art, hiking, history.",2025-05-04,
trip_duration,"Looking for a 7-day friends holiday to Rome, around $1500, staying at a Airbnb, mainly for art, hiking, history.",7,
start_date,"Friends vacation to Cape Town (2025-02-16–2025-02-26) with $800 for 6 people, prefer hostel, focusing on adventure.",2025-02-16,2025-11-05
end_date,"Friends vacation to Cape Town (2025-02-16–2025-02-26) with $800 for 6 people, prefer hostel, focusing on adventure.",2025-02-26,2025-11-06
trip_duration,"Friends vacation to Cape Town (2025-02-16–2025-02-26) with $800 for 6 people, prefer hostel, focusing on adventure.",10,2
start_date,"Friends vacation to Cape Town (2025-02-16–2025-02-26) with $800 for 6 people, prefer hostel, focusing on adventure.",2025-02-16,2025-11-05
end_date,"Friends vacation to Cape Town (2025-02-16–2025-02-26) with $800 for 6 people, prefer hostel, focusing on adventure.",2025-02-26,2025-11-06
trip_duration,"Friends vacation to Cape Town (2025-02-16–2025-02-26) with $800 for 6 people, prefer hostel, focusing on adventure.",10,2
start_date,"Friends trip to Cape Town (2025-02-16–2025-02-26) with $800 for 6 people, prefer hostel, focusing on adventure.",2025-02-16,2025-11-05
end_date,"Friends trip to Cape Town (2025-02-16–2025-02-26) with $800 for 6 people, prefer hostel, focusing on adventure.",2025-02-26,2025-11-06
trip_duration,"Friends trip to Cape Town (2025-02-16–2025-02-26) with $800 for 6 people, prefer hostel, focusing on adventure.",10,2
start_date,"Couple vacation to Tokyo (2025-01-27–2025-02-03) with $1200 for 2 people, prefer villa, focusing on food.",2025-01-27,2025-11-05
end_date,"Couple vacation to Tokyo (2025-01-27–2025-02-03) with $1200 for 2 people, prefer villa, focusing on food.",2025-02-03,2025-11-06
trip_duration,"Couple vacation to Tokyo (2025-01-27–2025-02-03) with $1200 for 2 people, prefer villa, focusing on food.",7,2
start_date,"Couple trip to Tokyo (2025-01-27–2025-02-03) with $1200 for 2 people, prefer villa, focusing on food.",2025-01-27,2025-11-05
end_date,"Couple trip to Tokyo (2025-01-27–2025-02-03) with $1200 for 2 people, prefer villa, focusing on food.",2025-02-03,2025-11-06
trip_duration,"Couple trip to Tokyo (2025-01-27–2025-02-03) with $1200 for 2 people, prefer villa, focusing on food.",7,2
start_date,"Couple vacation to Tokyo (2025-01-27–2025-02-03) with $1200 for 2 people, prefer villa, focusing on food.",2025-01-27,2025-11-05
end_date,"Couple vacation to Tokyo (2025-01-27–2025-02-03) with $1200 for 2 people, prefer villa, focusing on food.",2025-02-03,2025-11-06
trip_duration,"Couple vacation to Tokyo (2025-01-27–2025-02-03) with $1200 for 2 people, prefer villa, focusing on food.",7,2
start_date,"Solo vacation to Sydney (2025-07-07–2025-07-13) with $2000 for 1 people, prefer hostel, focusing on food, history.",2025-07-07,2025-11-05
end_date,"Solo vacation to Sydney (2025-07-07–2025-07-13) with $2000 for 1 people, prefer hostel, focusing on food, history.",2025-07-13,2025-11-06
trip_duration,"Solo vacation to Sydney (2025-07-07–2025-07-13) with $2000 for 1 people, prefer hostel, focusing on food, history.",6,2
start_date,"Solo trip to Sydney (2025-07-07–2025-07-13) with $2000 for 1 people, prefer hostel, focusing on food, history.",2025-07-07,2025-11-05
end_date,"Solo trip to Sydney (2025-07-07–2025-07-13) with $2000 for 1 people, prefer hostel, focusing on food, history.",2025-07-13,2025-11-06
trip_duration,"Solo trip to Sydney (2025-07-07–2025-07-13) with $2000 for 1 people, prefer hostel, focusing on food, history.",6,2
start_date,"Solo vacation to Sydney (2025-07-07–2025-07-13) with $2000 for 1 people, prefer hostel, focusing on food, history.",2025-07-07,2025-11-05
end_date,"Solo vacation to Sydney (2025-07-07–2025-07-13) with $2000 for 1 people, prefer hostel, focusing on food, history.",2025-07-13,2025-11-06
trip_duration,"Solo vacation to Sydney (2025-07-07–2025-07-13) with $2000 for 1 people, prefer hostel, focusing on food, history.",6,2
start_date,"Looking for a 9-day friends getaway to Bali, around $2000, staying at a resort, mainly for photography.",2025-08-28,
end_date,"Looking for a 9-day friends getaway to Bali, around $2000, staying at a resort, mainly for photography.",2025-09-06,
trip_duration,"Looking for a 9-day friends getaway to Bali, around $2000, staying at a resort, mainly for photography.",9,
start_date,"Looking for a 9-day friends holiday to Bali, around $2000, staying at a resort, mainly for photography.",2025-08-28,
end_date,"Looking for a 9-day friends holiday to Bali, around $2000, staying at a resort, mainly for photography.",2025-09-06,
trip_duration,"Looking for a 9-day friends holiday to Bali, around $2000, staying at a resort, mainly for photography.",9,
start_date,"I want a 9-day friends holiday to Bali, around $2000, booked in a resort, mainly for photography.",2025-08-28,
end_date,"I want a 9-day friends holiday to Bali, around $2000, booked in a resort, mainly for photography.",2025-09-06,
